tweet,predicted_sentiment
"waktu tinggal di pedalaman papua,aku bela''in beli #Indomie ke belanda..
Ini cerita ku,kamu ga punya cerita?",positive
"Memang kak~ hihi :9 RT 
@dillaharani
: Kyknya enak tu wa :D (ˆڡˆ) RT neirahiwa: Mie Rebus Gule Sapi :9 #indomie #kreasi",positive
Petisi untuk ko @/axtonsalim agar produksi lagi rasa sambal matah #indomie #indomiesambalmatah #indomiegoreng,positive
"Adekkkk -....--@novimarwah11: pengen indomie rasa semur jengkol (˘̩̩̩.˘̩̩̩ƪ) #indomie""",neutral
Semoga #indomie rebus telor+bakso+rawit tadi bisa bikin idung lega #minumobat #hap,neutral
Kehidupan anak kos #tanggaltua #anakkos #indomie,positive
"Intro About You - The 1975  

Popmie + kecambah + sosis  #popmie #popmieindomie #indomie #indomieseleraku #kos #kosan #hujan #kecambah #sosis",positive
"waktu tinggal di pedalaman papua,aku bela''in beli #Indomie ke belanda..
Ini cerita ku,kamu ga punya cerita?",positive
jadi kan waktu lebih bermakna #indomie,neutral
"Makan siang dengan #indomie, setidaknya itu produk nasional, tdk seperti Proton",positive
Masih menunggu semoga keluar varian Ramen ala Japan sama Char Kwe Tiau ala Malaysia...Soalnya demen sama versi aslinya... #Indomie,positive
content,neutral
"RT 
@GalauGokil
: Lapar n' Galau , mau #indomie pake #taro ~",positive
"Di jakarta..tadi nemu gitu di instagram hehehe""
@brigitaput
: Emg km dimanaa ""
@Anindhitaputri
:  #WTH! #indomie """"",positive
RT @Alya_FamelaTS: Menyebalkan bila lapar tengah malam gk ada makanan. terpaksa #indomie :(,positive
"Lembayung dikala itu, Indomie Seleraku~ 

#photooftheday #bandung #parisjvanjava #pasupati #grandiahotel #cihampelas #flyover #lembayung #senja #indomie #anime #backgroundanime #landscape #viewbandung #bandungkota #hotel #バンドン #ホテル #アニメスタイル #アニメ #景色",positive
sahabat di kala hujan  #food #indomie #seleraku #mie #kariayam #telur #endes_mak #perfect #buat… http://instagram.com/p/hattq4t5oG/,positive
Sponsor Bola World Cup #indomie tp gw tetep pilih Mie Sedaap Kari Ayam artinya beriklan di #antv n #tvone gk efektif,positive
"Sebelum atau sesudah flight , kalau kalian laper bisa banget loh mampir ke Upnormal Coffee Roaster by 
@warunk_upnormal
 yang ada di Bandara Husein Sastranegara.
#upnormalcoffeeroster
#coffee
#bandung
#warunkupnormal
#sieko
#indomie",positive
"#tambahan Memasak #Indomie Secara geriliya RT 
@miwwa
: Gara-gara nonton #MasterChefIndo jadi pengen berlagak jadi koki. Sayangnya yang bisa",positive
"waktu itu aku masak #indomie, setelah mienya masak aku baru sdar kalo itu mie sedaap.. Ini ceritaku apa ceritamu?",positive
"#Indomie , brand yang sudah merasuk ke hati(ku)",neutral
Godaan malam Jumat? #IndomieGoreng #TelurPindang #TruffleOil #Indomie #MilkAndCookies,positive
Bikin...ga...bikin...ga...bikin...ga... #indomie,neutral
"puasa cik :p RT 
@jiroo17
: Makaan #indomie rasa rendaang ahh ~(‾▿‾~) (~‾▿‾)~",positive
"Coba #Indomie kaya nutrisi seperti buah dan sayur, gw bakalan makan setiap hari di sisa hidup gw",positive
"gw mah mie sedap wkwkwkwkw RT @adams_putra: #indomie ...
makanan anak koss,,,
hiks,hiks ,,",positive
Hery menyerah..... #indomie teman kencan malam ini ,positive
Masak #Indomie aja ah buat sarapan pagi ini...Hitung² berhemat! Wuihihi... :p #ItsCookingTime,positive
"sarapan nikmat :9 
@yosefkristiano
 #instagram #instafood #culinary #breakfast #indomie #miecabeijo http://instagr.am/p/T1gefJDwcv/",positive
"Kelaperan jam segini,trus aku kedapur cuma ada #indomie sm nasi putih,apa boleh buat,aku goreng ikan #gaknyambung,ini critaku apa critamu?",negative
"Emang ngga ringan ngelakuinnya, tapi dengan semangat, Insyallah tahun ini kita menang - kutipan dari #indomie",positive
"wktu hujan trun aku pngen bgt mkn indomie, yaudah aku msak, pas mau
msak eh hujannya berenti, yaudah ga jadi
makan indomie deh #Indomie",neutral
Akhirnya makan #Indomie ditempatnya lae Hutabarat...Nikmatnya makan mie instant kalo perut kelaparan... #Lebaran,positive
""" Wisata GRATIS Kementerian Pariwisata dan Kebudayaan Indonesia, Mau?"" di Facebook dah kayak iklan #indomie campur cendol #freak",positive
"“
@ratnakwik
: menetapkan #indomie sebagai sahabat terbaikku” abis naek gaji ko makannya ttp mi instan. Ups...",positive
ChefJuna: Pastry itu susah! | nah lho! Aku bikin #indomie goreng ae wes qiqiqiq,positive
"Di #Alfamart banyak koq itu #Indomie Taste of Asia... RT 
@sherlynoviana
: dimandose tuh belinya bang?",positive
"Bungkusnya to-_-RT 
@OctofanoRizky
: bagian terpenting dari #INDOMIE rebus,yaitu #KUAH-NYA:D",positive
content,neutral
Ujan2 #indomie emg juara,neutral
"Lebih suka mi sedap :3 RT 
@arinniullyta
: Direbus atau digoreng gak masalah asalkan itu #indomie https://pic.x.com/rfgvmki2ly",positive
"Biar ga gila beneran nyoba mie gila dlu !!!.. Nih korban mie gilak malam ini #Indomie #MieGilak #MieSetan 
@rizkan_nurse",positive
Ini ceritaku mana ceritamu #Indomie ,neutral
Indomie : masih seleraku...... #dinner #indonesianfood #indomie #noodle #rendang http://instagram.com/p/gqYyr2refI/,positive
Meen y7bk gd ma a7bbk ana ;____; #indomie,positive
#indomie goreng telur kornet keju  #tehkotak http://instagr.am/p/G9Wapqwdkx/,negative
Sarapan #indomie didampingi susu...,positive
"Wkt di Arab, #indomie jg ada dimana2. Bahkan indofood ampe buka kantor di Jeddah. Hebat yah.",positive
content,neutral
"Nikmatnya cuma 10 menit, ngerasa berdosanya seharian. #Indomie",positive
#nahini nyampur mengenyangkan #indomie #superbihun #kwetiaugoreng #mieinstant #miegoreng,positive
Jam dimana para batman kelaparan *termasuk gwa* #indomie anyone?,positive
"Team gak diaduk garis keras
#indomie",positive
"selamat pagi Indonesia,   mari sarapan ... #indomie",positive
Blom dikasih judul! #indomie #love #food http://instagram.com/p/lFvQffSHIj/,neutral
Makan #indomie kak. haha RT @giskerina: Mual -_-,neutral
"RT @risabellaqueen: Trpaksa makan #Indomie (¬_¬"")  laper tdk tertahan",positive
"Untuk mereka yang sibuk mencari cara memaknai arti hidup, cobalah untuk berbagi. #indomie #seleraku",positive
"Perbadaan itu, sperti Air & Minyak .. 
sulit bersatu, namun bisa brdmpingan ..

#Indomie. :-D",positive
"gw mah mie sedap wkwkwkwkw RT @adams_putra: #indomie ...
makanan anak koss,,,
hiks,hiks ,,",positive
Selamat pagi. #Sabtu suntok. #Weekend suntok #KKNlom #instamood #indomie #indokmakeuh,positive
"Bikin kadar pigmen tinggi mungkin sob *kabur* RT 
@sheggario
: Siapa bilang #KFC & #Indomie bikin gendut & bego? liat aja gw! Sehat & cerdas!",positive
#NAME?,neutral
#indomie rebus adalah opor ayam yg tertunda..,neutral
"TVC Indomie "" Susah Duduk Santai "".
#indomie #indomieseleraku #indomiekuah #tvc #iklan #model… https://instagram.com/p/BPiG3YjBwOH/",positive
"Selangkah lagi!
Persija Jakarta siap menyabet trofi Piala Indonesia.

Ayo #SatukanTekadJuang tampil SANGAR di laga BESAR !

Supported by 
@Indomielovers
 

#IndofoodxPersija #Indomie #PersijaJakarta #gorengsemangatmu #pialaindonesia",positive
#Indomie seleraku.,positive
"waktu itu aku masak #indomie, setelah mienya masak aku baru sdar kalo itu mie sedaap.. Ini ceritaku apa ceritamu?",positive
"Crita #indomie tmnku: karena sering makan indomie, jarang makan nasi ehh masuk RUMAHSAKIT kena tipes, haduh. Apa critamu?",neutral
Hanya ini yang terbaik di kelasnya. Indomie rasa soto lamongan. #indomie,neutral
Bikin sendiri sama dibikinin rasanya beda #misteri #indomie,negative
"kalian bersekongkol~ lgan mana ada dsni T.T RT @JuliuzYeah: RT 
@verenayunita
: #INDOMIE ! wkwk RT 
@rianariani
 sepertinya makanannya gak enak",positive
Masak #Indomie enak kale ye :),positive
Beda itu memisahkan..dari cinta menjadi benci #indomie ,positive
"Cu fud...RT 
@semirahh
: #INDOMIE!",neutral
Masak ah yg spesial buat saur #indomie telur ,neutral
#Indomie selalu membuat bahagia disaat kya gini \/,positive
"Pantesan kamu ceking euy,,daharna nu kitu gening!! RT 
@THYranosaurus
: selamat makan #indomie""",positive
Inilah tumpeng raksasa berbahan dasar #Indomie Cabe Ijo di #JakartaCommunityCarnival2013 Senayan Jakarta :D :P #AJIB,positive
"tukang #indomie-nya nonton bola,pesenan gw ga dateng2.. =.=",neutral
"Lol""@Omotdamsel: O ta lenu!!!> #indomie 50 #atagigun 200""",positive
"Superb! RT 
@missciccone
: Masaknya 3 menit, makannya semenit. #Indomie",positive
Inilah tumpeng raksasa berbahan dasar #Indomie Cabe Ijo di #JakartaCommunityCarnival2013 Senayan Jakarta :D :P #AJIB,positive
Sarapan pagi #Indomie Cabe Ijo plus pangsit ... Perfect blend :)),positive
Dimanapun kapanpun #indomie emang ngangenin. Ini deritaku apa deritamu?,positive
content,neutral
lebih milih makan #indomie daripada makan daging2 ini,neutral
Menu spesial buatan Ibu sore ini: Mie Rebus Gule Sapi :9 #indomie #kreasi,positive
"abis mandi gini yg enak tidur lagi, itu cerita #indomie ku, apa cerita mu?",positive
Photo: Nikmat indomir telor rebus manakah yang kamu dustakan di tengah guyuran hujan? #indomie #culinary... http://tmblr.co/ZRLOMy13xctci,positive
Cinta produk Indonesia #vscocam #foodporn #indomie #indonesia #noodle http://instagram.com/p/r3K3WSju4S/,positive
"Dan karna lapar melanda, terpaksa deh masak #Indomie Rasa Ayam Spesial buat pengganjal perut sebelum tidur... #ItsCookingTime",positive
"Alhamdulillah, punya warkop sendiri dikosan #indomie #milopanas",positive
"Bangun tidur, prepare buat kerja...Panasin aer buat teh, siapin #Indomie buat sarapan, & saatnya mandi...",positive
content,neutral
"Yuk makan lagi! 
@PergiDulu
 
@lohsharon
 - with 
@kitajimaland
 
@Ardiduck
 #indomie #food",negative
"RT 
@mooeilicious
 Siapa yang bisa tahan godaan kalo ada makanan ini? #indomie #mooei http://bit.ly/1h0y1pI",positive
"Kabar duka. Telah berpulang ke Rahmatullah, Ibu Nunuk Nuraini, penemu rasa Indomie pagi tadi, Rabu 27 Januari 2021. 

Mari kita doakan semoga almarhumah husnul khotimah 

Sumber twitter 
@lailadimyati


#minrol #kabarduka #indomie #mieinstan",positive
"Bhinneka tunggal rasa.
Berbeda-beda tp satu selera.   
#Indomie",neutral
"Keren !!! RT 
@chainesea
: Ada #Indomie dijual di 7 Eleven di #Macau. #HKMFMtrip http://bit.ly/I9sdvP",positive
Yg lain lagi rame #BTSMeal saya cuma makan #indomie,neutral
KAPAN GW MAKAN #INDOMIE kaya gini,positive
"Ulasan singkat: oke  klo untuk dimakan secara occasional, tapi enggak klo untuk dimakan secara reguler. Direkomendasikan untuk para penggemar masakan asin  #Indomie #IndomieMieKeriting #IndomieCurlyFriedNoodleSaltedEgg #IndomieSaltedEgg",positive
Malam ini mi lagi #indomie #mie http://instagr.am/p/RC1Ac3BPMj/,positive
"RT 
@anggarapraditya
 RT 
@cellacea
: Makan #indomie 1 itu ga cukup ya!!",positive
"Dulu gue pernah saur pake #timun doang, gara"" keabisan Rantang. Untung ada #indomie jadi bisa santap saur penuh Gizi. *ini cerita ku!",positive
content,neutral
"Lol RT 
@B2knana
: WAY3 ADE3 PAA RT""Efya_Owusua: Yea:) RT 
@B2knana
: SAAAH RT""Efya_Owusua: Later in the evening..... #indomie""""",neutral
content,neutral
"kalau ada #Indomie sama 
@SambalABC
 aman mi itu.. hihi mari makaaann",positive
"Mie slalu jd makanan faforit!!
#indomie",positive
"Kuliah siang ini » RT 
@Subiakto
: Tepat jam 12.00. Tweet ttg kampanye #Indomie thn 1995 saya mulai",positive
"Hahaha, emang bener kata 
@bandeng_
 , seharusnya sharena ama Utet , nah Iko ama Clift Sangra aja ... Biar connect #Indomie...",positive
"mie persis bungkus nya nihh guys 
@TELAPI12
 #ayambawang #indomie http://instagram.com/p/k1Aaw8Efwq/",positive
Duo jumbo #indomie hesviandrisetya #indomiemania http://instagram.com/p/fUKWjVHuPm/,positive
"waktu itu aku nobar sm si A saking lapernya gkada makanan cm ada #indomie aja yaudah kita masak dh,agak romantis sih. itu crt ku apa crt mu?",positive
Sarapan pagi ini dimulai dengan #mierebus #indomie ini ceritaku mana ceritamu...,neutral
content,neutral
Selamat pagi. #Sabtu suntok. #Weekend suntok #KKNlom #instamood #indomie #indokmakeuh,positive
"Selamat Datang 
@Indomielovers
 di keluarga Persija musim ini!
_
#PersijaxIndomie
#Indomie
#PersijaJakarta
#PersijaSelamanya",positive
Gawat jam segini perut nagih #indomie,neutral
Indomie Goreng :9 #Indomie #Goreng #Indonesia #Food #MSG #Delicious http://instagram.com/p/lUjpJullsT/,negative
Hidup ga jauh-jauh dari..... #indomie,neutral
content,neutral
#indomie emang juara dah...,positive
Brb warung depan beli #Indomie~,neutral
"Saat pada puasa kantin dikantor tutup, padahal ak laper n pengen banget makan indomie. iniceritakuapaceritamu? #indomie",neutral
 #indomie .... seleraku ...... #instagram #instapad #instaphoto #instago #instagood #instamood… http://instagr.am/p/Vai-5FPyWQ/,positive
"ini minumanku, apa minumanmu? #indomie http://instagram.com/p/ZxsVeyPB3M/",neutral
Terpaksa deh makan makanan putus asa #indomie,positive
"haha tau aje, udeh aah cusss* *trikselimut,pelukeka* haha RT @TaulDelicious: MARKIBO abis #INDOMIE (cont) http://wl.tl/xmuFA",positive
"Karakter baru, namanya #Samsul si tukang milok. Hobinya beli #Indomie kornet. #ilustrasi #doodle #coretcoretan",positive
Sarapan pagi ini #indomie #goreng & teh panas  http://instagram.com/p/vHz61VxpZo/,positive
"Nasib #AnakRantau mas...Dalam seminggu makan #Indomie itu pasti... x_x RT 
@DowoSun
: Jgn sering2 mkn indomie euy..,",positive
#Lunch @ kosan #indomie #bukan http://instagr.am/p/1nd0m13,neutral
"Asekkk haha :D ""
@Dodonkkkk
: 
@RM_Iman
 asek dah iman cerita nya, ini cerita imanmo, cerita lo apa ? #indomie""",neutral
"Ȋ̝̊̅ wan eat oh""
@Meez_TakenID
: #indomie tins""",positive
content,neutral
content,neutral
"setelah aku makan indomie, perutku langsung sakit2, ternyata aku
masukin saus 1 botol smpe abis, ini ceritaku
apa ceritamu? #indomie",neutral
"kai! ai bari kawai RT @DadiRimez: ""
@DatAfricanKid
: na gode maza RT DadiRimez:  #Indomie"" » Sun iya ne?",positive
content,neutral
"Sahur hari ini sendiri, si emak smalem bilang kalo mau sahur ada #indomie di lemari. Ini ceritaku, apa ceritamu?",positive
"Pantang lengah, saatnya teruskan hasil positif!
Hendro dkk siap #SatukanTekadJuang raih 3 poin.

Berapa prediksi skor umak?
Ayo #SatukanTekadJuang bersama 
@indomie
 dukung terus Singo Edan di Liga 1!

#IndofoodxArema #AremaFC #Indomie #SatukanTekadJuang #GorengSemangatmu",positive
content,neutral
"Akhir pekan ini, Persija akan melakoni pekan ke-5 Liga 1
 
Bertandang ke markas Persela Lamongan, Macan Kemayoran siap berjuang habis-habisan.
 
Semangat Penuh & Terus #SatukanTekadJuang bersama 
@Indomielovers
 
 
#IndofoodxPersija #Indomie #Liga1 #PersijaJakarta #GorengSemangatmu",positive
